time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-02-07T05:26:31.390Z,36.1206,36.3448,18.551,4.4,mb,50,128,1.259,0.48,us,us6000jm63,2023-02-07T05:43:47.040Z,"Turkey-Syria border region",earthquake,5.64,4.995,0.124,19,reviewed,us,us
2023-02-07T04:16:42.785Z,37.8886,37.3491,10,4.3,mb,20,87,0.724,0.36,us,us6000jm5s,2023-02-07T04:34:13.040Z,"11 km SW of Nurhak, Turkey",earthquake,3.71,1.968,0.532,1,reviewed,us,us
2023-02-07T03:37:01.805Z,36.3209,36.2362,10,4.2,mb,24,194,1.155,0.95,us,us6000jm5j,2023-02-07T03:49:53.040Z,"Turkey-Syria border region",earthquake,7.08,1.978,0.176,9,reviewed,us,us
2023-02-07T03:35:26.290Z,38.7789993,-122.7576675,0.58,2.51,md,48,45,0.0104,0.06,nc,nc73842821,2023-02-07T05:37:13.230Z,"0km NNW of The Geysers, CA",earthquake,0.15,0.24,0.16,52,automatic,nc,nc
2023-02-07T03:13:13.398Z,37.7651,37.743,10,5.5,mww,108,45,0.728,1.02,us,us6000jm5e,2023-02-07T05:18:03.791Z,"9 km ESE of Gölbaşı, Turkey",earthquake,4.94,1.839,0.068,21,reviewed,us,us
2023-02-07T03:08:57.669Z,37.9207,37.6281,10,4.6,mb,12,101,0.818,0.29,us,us6000jm5c,2023-02-07T03:29:51.236Z,"15 km N of Gölbaşı, Turkey",earthquake,4.08,1.995,0.103,28,reviewed,us,us
2023-02-07T03:02:55.216Z,37.2643,37.3072,10,4.3,mb,17,98,0.121,0.41,us,us6000jm5a,2023-02-07T03:30:24.040Z,"23 km NNW of Gaziantep, Turkey",earthquake,5.09,1.972,0.267,4,reviewed,us,us
2023-02-07T02:56:17.573Z,6.8206,-72.9777,151.795,4.6,mb,38,57,0.928,0.81,us,us6000jm59,2023-02-07T03:17:18.040Z,"7 km N of Cepitá, Colombia",earthquake,8.76,8.021,0.045,148,reviewed,us,us
2023-02-07T02:53:27.304Z,37.8697,36.2407,10,4.2,mb,16,88,1.029,0.32,us,us6000jm57,2023-02-07T03:15:07.040Z,"18 km SE of Saimbeyli, Turkey",earthquake,2.91,1.961,0.16,11,reviewed,us,us
2023-02-07T02:47:37.220Z,35.9402,35.9972,10,4.8,mb,77,47,1.57,0.89,us,us6000jm55,2023-02-07T03:59:55.977Z,"7 km NW of Yayladağı, Turkey",earthquake,4.3,1.806,0.063,78,reviewed,us,us
2023-02-07T02:43:28.181Z,38.1106,36.9246,10,4.3,mb,14,62,0.964,0.92,us,us6000jm54,2023-02-07T03:00:02.040Z,"15 km S of Afşin, Turkey",earthquake,3.21,1.987,0.161,11,reviewed,us,us
2023-02-07T02:39:04.012Z,38.6188,37.4776,15.141,4.2,mb,22,72,1.296,1.05,us,us6000jm53,2023-02-07T03:15:46.040Z,"8 km NNW of Darende, Turkey",earthquake,3.67,5.287,0.176,9,reviewed,us,us
2023-02-07T02:29:34.153Z,14.0559,145.0736,107.37,5,mb,52,77,0.505,0.63,us,us6000jm51,2023-02-07T06:11:07.285Z,"60 km NNE of Yigo Village, Guam",earthquake,11.38,6.349,0.061,84,reviewed,us,us
2023-02-07T01:34:31.046Z,37.4314,37.2322,8.068,4.3,mb,24,92,0.259,0.95,us,us6000jm4x,2023-02-07T02:35:58.462Z,"8 km SW of Pazarcık, Turkey",earthquake,4.58,3.617,0.138,15,reviewed,us,us
2023-02-07T01:29:19.687Z,38.0568,36.7401,10,4.1,mb,31,65,0.959,0.72,us,us6000jm4r,2023-02-07T01:42:28.040Z,"21 km E of Göksun, Turkey",earthquake,4.85,1.921,0.145,13,reviewed,us,us
2023-02-07T00:35:51.673Z,-7.345,105.9037,57.855,5.5,mb,117,83,4.17,0.99,us,us6000jm4c,2023-02-07T03:55:10.789Z,"81 km WSW of Pelabuhanratu, Indonesia",earthquake,7.66,6.785,0.048,148,reviewed,us,us
